[ID],[TableID],[ExplicitName],[InferredName],[ExplicitDataType],[InferredDataType],[DataCategory],[Description],[IsHidden],[State],[IsUnique],[IsKey],[IsNullable],[Alignment],[TableDetailPosition],[IsDefaultLabel],[IsDefaultImage],[SummarizeBy],[ColumnStorageID],[Type],[SourceColumn],[ColumnOriginID],[Expression],[FormatString],[IsAvailableInMDX],[SortByColumnID],[AttributeHierarchyID],[ModifiedTime],[StructureModifiedTime],[RefreshedTime],[SystemFlags],[KeepUniqueRows],[DisplayOrdinal],[ErrorMessage],[SourceProviderType],[DisplayFolder],[EncodingHint],[RelatedColumnDetailsID],[AlternateOfID],[LineageTag],[SourceLineageTag]
2133,2132,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,6,19,,,True,1,True,True,False,1,-1,False,False,1,2409,3,,,,,True,,2134,20/04/2026 17:07:37,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,,
2157,2132,id_manifestacao,,6,19,,Identificador numérico interno gerado pelo sistema. Utilizado como referência técnica complementar ao protocolo.,False,1,False,False,True,1,-1,False,False,3,2433,1,id_manifestacao,,,0,True,,2332,21/04/2026 22:39:48,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,03eb4533-8d74-40ac-aadd-314662a507b2,
2158,2132,protocolo,,2,19,,[Papel: Chave] Identificador único de negócio da manifestação no SGOe. Chave primária lógica da tabela f_relatorio e destino dos relacionamentos com f_pesquisa[protocolo] e f_insatisfatorias[protocolo].,False,1,False,False,True,1,-1,False,False,2,2437,1,protocolo,,,,True,,2333,01/05/2026 18:20:14,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,e5abad0c-f3ae-4f21-9778-ce1af5d7cb3f,
2159,2132,data_manifestacao,,9,19,,Data e hora em que a manifestação foi registrada no sistema. Ponto de partida para cálculo do TMR e dias de vida.,False,1,False,False,True,1,-1,False,False,2,2441,1,data_manifestacao,,,General Date,True,,2334,20/04/2026 21:04:10,21/04/2026 22:39:45,31/12/1699 00:00:00,0,False,0,,,,0,,,78a00d6b-61f3-4a9b-965c-f45cc0c11a1d,
2174,2132,data_finalizacao,,9,19,,Data e hora em que a manifestação foi encerrada pelo órgão. Usada para determinar manifestações finalizadas.,False,1,False,False,True,1,-1,False,False,2,2501,1,data_finalizacao,,,General Date,True,,2349,20/04/2026 21:04:26,21/04/2026 22:53:41,31/12/1699 00:00:00,0,False,0,,,,0,,,91a81071-d137-4b82-ad64-f34549c2d9bc,
2182,2132,data_revisao,,9,19,,Data da última revisão ou atualização de status da manifestação pelo órgão ou pela ouvidoria.,False,1,False,False,True,1,-1,False,False,2,2533,1,data_revisao,,,General Date,True,,2357,20/04/2026 21:04:26,21/04/2026 22:53:45,31/12/1699 00:00:00,0,False,0,,,,0,,,dd2b0adb-e183-4a06-aecf-46e2d8356077,
2190,2132,sigla,,2,19,,[Papel: Chave/Atributo] Sigla do órgão responsável pelo tratamento da manifestação. Relaciona f_relatorio à dimensão dOrgao_igro e serve como principal eixo institucional do IGRO.,False,1,False,False,True,1,-1,False,False,2,2565,1,sigla,,,,True,,2365,01/05/2026 18:20:14,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,f7596e7a-ca40-425b-88d5-3d149affd423,
2191,2132,suborgao,,2,19,,Subdivisão ou unidade interna do órgão à qual a manifestação foi encaminhada.,False,1,False,False,True,1,-1,False,False,2,2569,1,suborgao,,,,True,,2366,20/04/2026 21:04:10,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,a573378a-887c-4df4-b08c-3bd3768504b0,
2192,2132,sigilo,,2,19,,"Indica se a manifestação possui caráter sigiloso, restringindo a visibilidade de dados ao cidadão e ao público.",False,1,False,False,True,1,-1,False,False,2,2573,1,sigilo,,,,True,,2367,20/04/2026 21:04:26,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,66275ff4-4ae2-4614-89d6-8b47528b7e88,
2193,2132,prazo_interno,,6,19,,Prazo em dias definido internamente pelo órgão para tratamento da manifestação.,False,1,False,False,True,1,-1,False,False,3,2577,1,prazo_interno,,,0,True,,2368,20/04/2026 21:04:26,20/04/2026 17:07:37,31/12/1699 00:00:00,0,False,0,,,,0,,,672f62a4-c5fe-413d-ad02-01873363c62d,
